source_row,date,weekday,3A_winner,3A_battle_count,3A_banquet,3B_winner,3B_battle_count,3B_banquet,2A_winner,2A_battle_count,2A_unified,2A_banquet,2B_winner,2B_battle_count,2B_unified,2B_banquet,2C_winner,2C_battle_count,2C_unified,2C_banquet,1A_winner,1A_battle_count,1A_unified,1A_banquet,1B_winner,1B_battle_count,1B_unified,1B_banquet,1C_winner,1C_battle_count,1C_unified,1C_banquet,1D_winner,1D_battle_count,1D_unified,1D_banquet,1E_winner,1E_battle_count,1E_unified,1E_banquet,siege_calpheon_winner,siege_calpheon_attacker1,siege_calpheon_attacker2,siege_valencia_winner,siege_valencia_attacker1,siege_valencia_attacker2
51,2025-10-02,木,RaиkSS,,,,,,シェイド,,,,UprisE,,,,雪狼族,,,,亗Luxúria亗,,,,オアシスステップ,,,,Anino,,,,SERENITY,,,,,,,,,,,,,
52,2025-10-03,金,シェイド,,,,,,MystSA,,,,・殺戮・,,,,,,,,義勇,,,,毛家村,,,,ZirconiA,,,,ーArchー,,,,Restart,,,,,,,,,
53,2025-10-04,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2025-10-05,日,沙漠黑鷹,,,,,,Etërnîty,,,,Döraêmön,,,,,,,,βυsнỉȉdo家族,,,,xAEGISx,,,,Astrklotho,,,,TheEnd,,,,Revenant,,,,,,,,,
55,2025-10-06,月,PONYTAIL,,宴会,VainqueurJP,,,氣噗噗讓玻璃心碎一地,,,宴会,AlmaVivaJP,,-,-,・殺戮・,,-,-,TheUniverse,,-,宴会,SkyCastle,,-,-,MÏRÃGË,,統一,-,ー麒麟ー,,統一,宴会,ーEspoirー,,統一,-,,,,,,
56,2025-10-07,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2025-10-08,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2025-10-09,木,PONYTAIL,,-,,,,xAEGISx,,-,-,UprisE,,統一,-,雪狼族,,-,宴会,亗Luxúria亗,,統一,-,雲淡風輕o,,-,-,ーArchー,,-,宴会,一DEFlANCE,,統一,-,SkyCastle,,-,宴会,,,,,,
59,2025-10-10,金,ーリベリオンー,,-,,,,MystSA,,-,-,・殺戮・,,-,宴会,,,,,TheEnd,,統一,-,ーArchー,,-,-,一惡人谷一,,-,-,RëBîrth,,-,-,Restart,,-,-,,,,,,
60,2025-10-11,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2025-10-12,日,毛家村,,-,,,,Anino,,-,-,PokemonGo,,-,-,,,,,βυsнỉȉdo家族,,統一,-,ーEspoirー,,-,-,オアシスステップ,,-,-,RaиkSS,,-,宴会,UnityJP,,-,-,,,,,,
62,2025-10-13,月,PONYTAIL,,-,VainqueurJP,,,氣噗噗讓玻璃心碎一地,,統一,-,RaиkSS,,-,-,海洋之心,,-,-,PARMESAN,,統一,-,彡MukBANG彡,,統一,-,LeLien,,-,宴会,ーArchー,,-,-,Restart,,-,-,,,,,,
63,2025-10-14,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2025-10-15,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2025-10-16,木,RaиkSS,,宴会,,,,ー麒麟ー,,-,-,義勇,,-,宴会,MystSA,,-,-,亗Luxúria亗,,-,-,雲淡風輕o,,-,宴会,kaioken,,統一,-,ーEspoirー,,-,宴会,MÏRÃGË,,統一,-,,,,,,
66,2025-10-17,金,LeLien,,宴会,,,,東京熱株式會社,,-,宴会,・殺戮・,,-,-,,,,,,,-,-,Etërnîty,,-,宴会,一惡人谷一,,統一,-,TheUniverse,,-,-,桜吹雪,,統一,-,,,,,,
67,2025-10-18,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2025-10-19,日,沙漠黑鷹,,-,,,,Anino,,-,宴会,PokemonGo,,-,-,,,,,βυsнỉȉdo家族,,-,宴会,シェイド,,-,-,Relax,,-,宴会,柿一門,,-,-,Döraêmön,,統一,-,,,,,,
69,2025-10-20,月,PONYTAIL,,宴会,VainqueurJP,,-,氣噗噗讓玻璃心碎一地,,-,-,・殺戮・,,-,宴会,雪狼族,,-,-,Revenant,,-,-,彡MukBANG彡,,-,宴会,Demise,,統一,-,シェイド,,統一,-,Restart,,-,宴会,,,,,,
70,2025-10-21,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2025-10-22,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2025-10-23,木,RaиkSS,,-,,,,FLORISTS,,-,宴会,義勇,,-,-,MystSA,,統一,-,亗Luxúria亗,,-,宴会,雲淡風輕o,,統一,-,Maverickz,,-,-,ーEspoirー,,統一,-,ーArchー,,-,-,,,,,,
73,2025-10-24,金,FLORISTS,,-,,,,東京熱株式會社,,-,-,毛家村,,-,-,,,,,月下の集い,,-,-,オアシスステップ,,統一,-,一惡人谷一,,-,宴会,TheUniverse,,統一,-,ーEspoirー,,-,宴会,,,,,,
74,2025-10-25,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2025-10-26,日,沙漠黑鷹,,宴会,,,,PhoenixJP,,-,-,PokemonGo,,-,宴会,,,,,βυsнỉȉdo家族,,-,-,Astrklotho,,-,-,オアシスステップ,,-,-,海尼根飲酒俱樂部,,統一,-,UnityJP,,-,宴会,,,,,,
76,2025-10-27,月,PONYTAIL,,-,VainqueurJP,,宴会,氣噗噗讓玻璃心碎一地,,-,宴会,・殺戮・,,-,-,Maverickz,,,,Pandora,,-,宴会,SkyCastle,,-,-,Anino,,-,-,ーArchー,,-,宴会,Иouver,,統一,-,,,,,,
77,2025-10-28,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2025-10-29,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2025-10-30,木,RaиkSS,,宴会,,,,雪狼族,,-,-,ZirconiA,,-,-,MystSA,,,,亗Luxúria亗,,-,-,雲淡風輕o,,-,-,Döraêmön,,統一,-,ーEspoirー,,-,-,天機,,-,-,,,,,,
80,2025-10-31,金,ーリベリオンー,,-,,,,PhoenixJP,,-,-,毛家村,,統一,宴会,,,,,TheEnd,,統一,-,オアシスステップ,,-,-,一惡人谷一,,-,-,TheUniverse,,-,宴会,Иouver,,-,-,,,,,,
81,2025-11-01,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2025-11-02,日,・殺戮・,,-,,,,AlmaVivaJP,,-,-,TRAITORs,,-,-,,,,,彡MukBANG彡,,統一,-,ーEspoirー,,統一,宴会,Anino,,統一,-,磯野家,,-,宴会,UnityJP,,-,-,,,,,,
83,2025-11-03,月,沙漠黑鷹,,-,VainqueurJP,,,氣噗噗讓玻璃心碎一地,,-,-,Döraêmön,,統一,-,Maverickz,,-,-,桜吹雪,,-,-,SkyCastle,,統一,-,UnityJP,,-,宴会,ーArchー,,-,-,xAEGISx,,-,-,,,,,,
84,2025-11-04,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2025-11-05,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2025-11-06,木,・殺戮・,,-,,,,シェイド,,-,-,桜吹雪,,-,宴会,MystSA,,-,宴会,Restart,,-,-,MÏRÃGË,,統一,-,SkyCastle,,-,-,ーEspoirー,,-,宴会,ーArchー,,-,宴会,,,,,,
87,2025-11-07,金,LeLien,,宴会,,,,PhoenixJP,,-,宴会,雪狼族,,-,-,,,,,ひよこりあ,,-,宴会,オアシスステップ,,-,宴会,一惡人谷一,,統一,-,TheUniverse,,統一,-,亗Luxúria亗,,統一,-,,,,,,
88,2025-11-08,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2025-11-09,日,沙漠黑鷹,,宴会,,,,AlmaVivaJP,,-,-,PONYTAIL,,-,-,,,,,βυsнỉȉdo家族,,-,-,Astrklotho,,-,-,TheUniverse,,-,宴会,義勇,,統一,-,Revenant,,統一,-,,,,,,
90,2025-11-10,月,RaиkSS,,宴会,雪狼族,,,AlmaVivaJP,,-,-,ーリベリオンー,,-,宴会,Maverickz,,-,-,Pandora,,-,-,SkyCastle,,-,宴会,UnityJP,,統一,-,ひよこりあ,,統一,-,xAEGISx,,-,宴会,,,,,,
91,2025-11-11,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2025-11-12,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2025-11-13,木,毛家村,,-,,,,PhoenixJP,,-,宴会,柿一門,,-,-,MystSA,,,,Restart,,-,-,雲淡風輕o,,-,宴会,彡MukBANG彡,,-,-,ーEspoirー,,統一,-,亗Luxúria亗,,統一,-,,,,,,
94,2025-11-14,金,殺戮THM,,-,,,,Döraêmön,,統一,-,TheUniverse,,-,-,,,,,黒の太陽,,-,-,オアシスステップ,,統一,-,一惡人谷一,,-,宴会,ーArchー,,-,-,,,-,宴会,,,,,,
95,2025-11-15,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2025-11-16,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,-,宴会,TRAITORs,,-,-,,,,,βυsнỉȉdo家族,,統一,宴会,Astrklotho,,-,-,SkyCastle,,統一,-,義勇,,-,-,MÏRÃGË,,-,-,,,,,,
97,2025-11-17,月,PokemonGo,,-,雪狼族,,,AlmaVivaJP,,-,宴会,ーリベリオンー,,-,-,Maverickz,,-,-,Revenant,,-,宴会,Restart,,-,-,UnityJP,,-,-,LeLien,,-,-,xAEGISx,,統一,-,,,,,,
98,2025-11-18,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2025-11-19,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2025-11-20,木,PONYTAIL,,宴会,,,,Anino,,統一,-,黒の太陽,,-,-,MystSA,,-,-,C0BRA,,統一,宴会,xAEGISx,,-,-,彡MukBANG彡,,統一,-,ーEspoirー,,-,-,Astrklotho,,-,-,,,,,,
101,2025-11-21,金,・殺戮・,,宴会,,,,PhoenixJP,,-,-,xAEGISx,,-,宴会,,,,,Sangsaka,,統一,-,ーEspoirー,,-,-,一惡人谷一,,-,-,ーArchー,,-,宴会,亗Luxúria亗,,-,-,,,,,,
102,2025-11-22,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2025-11-23,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,-,-,TRAITORs,,-,宴会,,,,,βυsнỉȉdo家族,,-,-,ーEspoirー,,統一,宴会,SkyCastle,,-,-,義勇,,統一,宴会,磯野家,,統一,宴会,,,,,,
104,2025-11-24,月,RaиkSS,,宴会,雪狼族,,-,AlmaVivaJP,,-,-,PhoenixJP,,-,宴会,Maverickz,,統一,-,Revenant,,-,-,SkyCastle,,統一,-,UnityJP,,-,宴会,LeLien,,-,宴会,亗Luxúria亗,,-,-,,,,,,
105,2025-11-25,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2025-11-26,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2025-11-27,木,Maverickz,,-,,,,TRAITORs,,-,-,黒の太陽,,-,-,VainqueurJP,,-,宴会,Restart,,-,-,雲淡風輕o,,統一,-,彡MukBANG彡,,-,-,SkyCastle,,-,宴会,Döraêmön,,統一,宴会,,,,,,
108,2025-11-28,金,・殺戮・,,-,,,,Döraêmön,,-,宴会,xAEGISx,,-,-,,,,,Pandora,,-,-,ーEspoirー,,-,-,一惡人谷一,,統一,-,ーArchー,,統一,-,Anino,,統一,-,,,,,,
109,2025-11-29,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2025-11-30,日,沙漠黑鷹,,宴会,,,,氣噗噗讓玻璃心碎一地,,-,-,TRAITORs,,-,-,,,,,βυsнỉȉdo家族,,統一,-,ーリベリオンー,,-,-,オアシスステップ,,-,宴会,桜吹雪,,-,-,UnityJP,,-,-,,,,,,
111,2025-12-01,月,RaиkSS,,-,雪狼族,,宴会,PokemonGo,,-,-,UnityJP,,-,-,Döraêmön,,-,宴会,Revenant,,統一,-,ーEspoirー,,-,宴会,RëBîrth,,-,-,ー麒麟ー,,統一,-,GALAKSI,,統一,宴会,,,,,,
112,2025-12-02,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2025-12-03,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2025-12-04,木,RaиkSS,,宴会,,,,義勇,,-,-,桜吹雪,,-,宴会,VainqueurJP,,,,Restart,,-,-,放置無言出入自由,,-,-,亗Luxúria亗,,統一,宴会,SkyCastle,,-,-,ーEspoirー,,-,-,,,,,,
115,2025-12-05,金,・殺戮・,,-,,,,MystSA,,-,-,TheUniverse,,-,-,,,,,黄昏のえりしおん,,-,-,オアシスステップ,,統一,宴会,一惡人谷一,,-,-,Maverickz,,-,-,ZirconiA,,-,宴会,,,,,,
116,2025-12-06,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2025-12-07,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,統一,-,PONYTAIL,,-,-,,,,,SkyCastle,,-,宴会,ーリベリオンー,,-,-,オアシスステップ,,統一,-,黒の太陽,,-,-,ーEspoirー,,-,-,,,,,,
118,2025-12-08,月,VainqueurJP,,-,雪狼族,,-,MystSA,,-,宴会,UnityJP,,-,-,TheUniverse,,-,-,Revenant,,-,宴会,彡MukBANG彡,,統一,-,LeLien,,-,-,シェイド,,-,-,SERENITY,,-,-,,,,,,
119,2025-12-09,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2025-12-10,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2025-12-11,木,VainqueurJP,,-,,,,義勇,,-,宴会,ひよこりあ,,-,-,UnityJP,,-,-,Restart,,-,-,Etërnîty,,統一,宴会,βυsнỉȉdo家族,,-,-,ーEspoirー,,-,-,Döraêmön,,-,-,,,,,,
122,2025-12-12,金,・殺戮・,,宴会,,,,UnityJP,,-,-,FLORISTS,,-,宴会,,,,,黄昏のえりしおん,,-,-,オアシスステップ,,-,-,一惡人谷一,,統一,宴会,Maverickz,,統一,-,亗Luxúria亗,,統一,-,,,,,,
123,2025-12-13,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2025-12-14,日,沙漠黑鷹,,宴会,,,,氣噗噗讓玻璃心碎一地,,-,-,PONYTAIL,,統一,-,,,,,SkyCastle,,-,-,ーリベリオンー,,-,宴会,ーEspoirー,,-,-,LeLien,,統一,宴会,RëBîrth,,統一,宴会,,,,,,
125,2025-12-15,月,RaиkSS,,宴会,雪狼族,,宴会,MystSA,,-,-,PhoenixJP,,-,-,TheUniverse,,-,-,Revenant,,-,-,彡MukBANG彡,,-,宴会,Döraêmön,,統一,宴会,ー麒麟ー,,-,宴会,C0BRA,,統一,-,,,,,,
126,2025-12-16,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2025-12-17,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2025-12-18,木,VainqueurJP,,-,,,,ーリベリオンー,,-,-,ZirconiA,,統一,-,温柔郷,,,,Restart,,-,宴会,黒の太陽,,-,-,βυsнỉȉdo家族,,-,-,Иouver,,統一,-,ーArchー,,-,宴会,,,,,,
129,2025-12-19,金,・殺戮・,,-,,,,MystSA,,-,宴会,TheUniverse,,-,-,,,,,黄昏のえりしおん,,統一,-,オアシスステップ,,-,-,一惡人谷一,,-,-,ーArchー,,-,宴会,亗Luxúria亗,,-,-,,,,,,
130,2025-12-20,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2025-12-21,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,-,-,AlmaVivaJP,,-,宴会,,,,,SkyCastle,,統一,-,Restart,,統一,-,オアシスステップ,,-,宴会,LeLien,,-,-,黄昏のえりしおん,,-,-,,,,,,
132,2025-12-22,月,RaиkSS,,-,雪狼族,,-,PokemonGo,,統一,-,ーリベリオンー,,-,宴会,TheUniverse,,-,宴会,RëBîrth,,統一,-,彡MukBANG彡,,-,-,LeLien,,-,-,シェイド,,統一,-,Bagaиі,,-,宴会,,,,,,
133,2025-12-23,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2025-12-24,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2025-12-25,木,RaиkSS,,宴会,,,,ーリベリオンー,,-,-,Restart,,-,-,微笑Party,,-,-,Revenant,,-,-,xAEGISx,,-,宴会,βυsнỉȉdo家族,,統一,-,ーEspoirー,,-,宴会,PhoenixJP,,-,-,,,,,,
136,2025-12-26,金,・殺戮・,,宴会,,,,MystSA,,-,-,Restart,,-,-,,,,,ZirconiA,,-,宴会,ー麒麟ー,,統一,宴会,一惡人谷一,,-,-,ーArchー,,統一,-,亗Luxúria亗,,-,-,,,,,,
137,2025-12-27,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2025-12-28,日,沙漠黑鷹,,,,,,氣噗噗讓玻璃心碎一地,,,,PONYTAIL,,,,,,,,SkyCastle,,,,UnityJP,,,,ーEspoirー,,,,義勇,,,,Revenant,,,,,,,,,
139,2025-12-29,月,雲淡風輕o,,宴会,雪狼族,,,柿一門,,統一,-,ーリベリオンー,,-,-,TheUniverse,,-,-,RëBîrth,,統一,宴会,彡MukBANG彡,,-,-,LeLien,,-,-,FLORISTS,,統一,-,C0BRA,,統一,-,,,,,,
140,2025-12-30,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2025-12-31,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
