db_row,date,weekday,slot,node_name,winner,legacy_people,battle_count,unified_or_constraint,banquet,tax_days,holding_days,release_date,calculation_status
19,2025-08-24,日,1C,捨てられた地,PokemonGo,,,-,宴会,5,1,2025-08-25,resolved
19,2025-08-24,日,1D,ベア川下流,UnityJP,,,-,-,5,7,2025-08-31,resolved
19,2025-08-24,日,1E,アルティノ入り口,ーArchー,,,-,-,5,7,2025-08-31,resolved
20,2025-08-25,月,3A,ルツム族駐屯地,TRAITORs,,,,-,6,5,2025-08-30,resolved
20,2025-08-25,月,3B,アト農場,ーリベリオンー,,,,-,6,6,2025-08-31,resolved
20,2025-08-25,月,2A,ベリア農場地帯,PokemonGo,,,-,宴会,6,7,2025-09-01,resolved
20,2025-08-25,月,2B,ギュントの丘,VainqueurJP,,,-,-,6,7,2025-09-01,resolved
20,2025-08-25,月,2C,高原地帯,殺戮THM,,,-,-,6,7,2025-09-01,resolved
20,2025-08-25,月,1A,隠遁の森,Restart,,,-,-,6,7,2025-09-01,resolved
20,2025-08-25,月,1B,エワズの丘,一惡人谷一,,,統一,宴会,6,7,2025-09-01,resolved
20,2025-08-25,月,1C,廃城跡入り口,DoraemonSA,,,-,-,6,7,2025-09-01,resolved
20,2025-08-25,月,1D,カイア渡し場,シェイド,,,-,宴会,6,4,2025-08-29,resolved
20,2025-08-25,月,1E,カズラ農場,SkyCastle,,,-,-,6,3,2025-08-28,resolved
23,2025-08-28,木,3A,北部大農場,MystSA,,,,-,5,7,2025-09-04,resolved
23,2025-08-28,木,2A,トロル防御基地,黒の太陽,,,-,-,4,7,2025-09-04,resolved
23,2025-08-28,木,2B,隠された修道院,桜吹雪,,,-,宴会,6,7,2025-09-04,resolved
23,2025-08-28,木,2C,マルニの第2実験場,TheUniverse,,,-,-,0,7,2025-09-04,resolved
23,2025-08-28,木,1A,アグリス平原,Revenant,,,-,-,0,7,2025-09-04,resolved
23,2025-08-28,木,1B,リンチ農場廃墟,xAEGISx,,,統一,-,6,4,2025-09-01,resolved
23,2025-08-28,木,1C,ブレディー砦,SkyCastle,,,-,宴会,3,3,2025-08-31,resolved
23,2025-08-28,木,1D,エントの森,LeLien,,,-,-,0,1,2025-08-29,resolved
23,2025-08-28,木,1E,クリオ村,海尼根飲酒俱樂部,,,-,宴会,4,7,2025-09-04,resolved
24,2025-08-29,金,3A,アグリス祭壇,LeLien,,,,宴会,6,3,2025-09-01,resolved
24,2025-08-29,金,2A,ナーガ抽出場,MÏRÃGË,,,統一,-,5,7,2025-09-05,resolved
24,2025-08-29,金,2B,オークキャンプ,沙漠黑鷹,,,-,-,0,7,2025-09-05,resolved
24,2025-08-29,金,1A,北部採石場,TheEnd,,,-,宴会,0,7,2025-09-05,resolved
24,2025-08-29,金,1B,ハーピーの絶壁,シェイド,,,-,-,0,3,2025-09-01,resolved
24,2025-08-29,金,1C,ブリの森,M三OW,,,統一,-,0,7,2025-09-05,resolved
24,2025-08-29,金,1D,マンシャの森の奥,Maverickz,,,統一,-,0,6,2025-09-04,resolved
24,2025-08-29,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,,統一,-,5,7,2025-09-05,resolved
26,2025-08-31,日,3A,デルニール農場,ーリベリオンー,,,,宴会,3,#N/A,#N/A,pending_or_error
26,2025-08-31,日,2A,略奪の森,氣噗噗讓玻璃心碎一地,,,-,宴会,0,1,2025-09-01,resolved
26,2025-08-31,日,2B,忘却の地,PONYTAIL,,,-,-,1,#N/A,#N/A,pending_or_error
26,2025-08-31,日,1A,ナーガ沼地,SkyCastle,,,-,宴会,2,4,2025-09-04,resolved
26,2025-08-31,日,1B,旧ダンデリオン,PhoenixJP,,,-,-,6,4,2025-09-04,resolved
26,2025-08-31,日,1C,捨てられた地,オアシスステップ,,,-,-,6,5,2025-09-05,resolved
26,2025-08-31,日,1D,ベア川下流,ouтcasт,,,統一,-,0,#N/A,#N/A,pending_or_error
26,2025-08-31,日,1E,アルティノ入り口,ーArchー,,,統一,-,0,#N/A,#N/A,pending_or_error
27,2025-09-01,月,3A,ルツム族駐屯地,廣寒宮,,,,宴会,2,7,2025-09-08,resolved
27,2025-09-01,月,3B,アト農場,LeLien,,,,宴会,1,4,2025-09-05,resolved
27,2025-09-01,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,,-,-,0,7,2025-09-08,resolved
27,2025-09-01,月,2B,ギュントの丘,VainqueurJP,,,-,-,0,7,2025-09-08,resolved
27,2025-09-01,月,2C,高原地帯,RaиkSS,,,-,-,0,6,2025-09-07,resolved
27,2025-09-01,月,1A,隠遁の森,Relax,,,-,-,0,7,2025-09-08,resolved
27,2025-09-01,月,1B,エワズの丘,花落微雨醉紅塵,,,-,-,0,7,2025-09-08,resolved
27,2025-09-01,月,1C,廃城跡入り口,xAEGISx,,,-,-,0,3,2025-09-04,resolved
27,2025-09-01,月,1D,カイア渡し場,シェイド,,,-,-,3,7,2025-09-08,resolved
27,2025-09-01,月,1E,カズラ農場,Bagaиі,,,統一,宴会,4,7,2025-09-08,resolved
30,2025-09-04,木,3A,北部大農場,MystSA,,,,-,0,7,2025-09-11,resolved
30,2025-09-04,木,2A,トロル防御基地,xAEGISx,,,統一,宴会,0,3,2025-09-07,resolved
30,2025-09-04,木,2B,隠された修道院,雪狼族,,,-,-,0,4,2025-09-08,resolved
30,2025-09-04,木,2C,マルニの第2実験場,PhoenixJP,,,-,-,0,3,2025-09-07,resolved
30,2025-09-04,木,1A,アグリス平原,βυsнỉȉdo家族,,,統一,-,0,7,2025-09-11,resolved
30,2025-09-04,木,1B,リンチ農場廃墟,一惡人谷一,,,-,宴会,3,7,2025-09-11,resolved
30,2025-09-04,木,1C,ブレディー砦,ねこ,,,統一,-,4,7,2025-09-11,resolved
30,2025-09-04,木,1D,エントの森,SkyCastle,,,-,宴会,6,7,2025-09-11,resolved
30,2025-09-04,木,1E,クリオ村,Maverickz,,,-,-,0,4,2025-09-08,resolved
31,2025-09-05,金,3A,アグリス祭壇,LeLien,,,,-,4,#N/A,#N/A,pending_or_error
31,2025-09-05,金,2A,ナーガ抽出場,Döraêmön,,,-,宴会,0,#N/A,#N/A,pending_or_error
31,2025-09-05,金,2B,オークキャンプ,・殺戮・,,,-,-,0,6,2025-09-11,resolved
31,2025-09-05,金,1A,北部採石場,TheEnd,,,統一,-,0,#N/A,#N/A,pending_or_error
31,2025-09-05,金,1B,ハーピーの絶壁,オアシスステップ,,,-,宴会,4,2,2025-09-07,resolved
31,2025-09-05,金,1C,ブリの森,ーEspoirー,,,-,宴会,0,#N/A,#N/A,pending_or_error
31,2025-09-05,金,1D,マンシャの森の奥,RëBîrth,,,-,-,1,#N/A,#N/A,pending_or_error
31,2025-09-05,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,,-,-,0,#N/A,#N/A,pending_or_error
33,2025-09-07,日,3A,デルニール農場,xAEGISx,,,,-,#N/A,#N/A,#N/A,pending_or_error
33,2025-09-07,日,2A,略奪の森,PokemonGo,,,-,-,6,#N/A,#N/A,pending_or_error
33,2025-09-07,日,2B,忘却の地,RaиkSS,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
33,2025-09-07,日,1A,ナーガ沼地,亗Luxúria亗,,,統一,-,3,4,2025-09-11,resolved
33,2025-09-07,日,1B,旧ダンデリオン,PhoenixJP,,,統一,-,3,1,2025-09-08,resolved
33,2025-09-07,日,1C,捨てられた地,オアシスステップ,,,統一,-,2,#N/A,#N/A,pending_or_error
33,2025-09-07,日,1D,ベア川下流,Restart,,,-,-,#N/A,#N/A,#N/A,pending_or_error
33,2025-09-07,日,1E,アルティノ入り口,UnityJP,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
34,2025-09-08,月,3A,ルツム族駐屯地,雪狼族,,,,宴会,0,7,2025-09-15,resolved
34,2025-09-08,月,3B,アト農場,PhoenixJP,,,,-,3,7,2025-09-15,resolved
34,2025-09-08,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,,-,宴会,0,7,2025-09-15,resolved
34,2025-09-08,月,2B,ギュントの丘,AlmaVivaJP,,,-,-,0,7,2025-09-15,resolved
34,2025-09-08,月,2C,高原地帯,Maverickz,,,-,-,1,7,2025-09-15,resolved
34,2025-09-08,月,1A,隠遁の森,Relax,,,-,-,0,7,2025-09-15,resolved
34,2025-09-08,月,1B,エワズの丘,花落微雨醉紅塵,,,統一,-,0,7,2025-09-15,resolved
34,2025-09-08,月,1C,廃城跡入り口,天機,,,-,宴会,4,7,2025-09-15,resolved
34,2025-09-08,月,1D,カイア渡し場,シェイド,,,-,宴会,0,3,2025-09-11,resolved
34,2025-09-08,月,1E,カズラ農場,ーArchー,,,-,-,0,6,2025-09-14,resolved
37,2025-09-11,木,3A,北部大農場,MystSA,,,,宴会,0,7,2025-09-18,resolved
37,2025-09-11,木,2A,トロル防御基地,ー麒麟ー,,,-,-,4,7,2025-09-18,resolved
37,2025-09-11,木,2B,隠された修道院,・殺戮・,,,-,-,3,4,2025-09-15,resolved
37,2025-09-11,木,2C,マルニの第2実験場,Иouver,,,-,宴会,4,7,2025-09-18,resolved
37,2025-09-11,木,1A,アグリス平原,亗Luxúria亗,,,-,宴会,0,7,2025-09-18,resolved
37,2025-09-11,木,1B,リンチ農場廃墟,Anino,,,統一,-,0,3,2025-09-14,resolved
37,2025-09-11,木,1C,ブレディー砦,沙漠黑鷹,,,-,-,0,3,2025-09-14,resolved
37,2025-09-11,木,1E,クリオ村,シェイド,,,-,-,3,7,2025-09-18,resolved
38,2025-09-12,金,3A,アグリス祭壇,ーリベリオンー,,,,宴会,#N/A,7,2025-09-19,pending_or_error
38,2025-09-12,金,2A,ナーガ抽出場,VainqueurJP,,,-,-,#N/A,7,2025-09-19,pending_or_error
38,2025-09-12,金,2B,オークキャンプ,SkyCastle,,,-,-,1,7,2025-09-19,resolved
38,2025-09-12,金,1A,北部採石場,桜吹雪,,,-,-,#N/A,6,2025-09-18,pending_or_error
38,2025-09-12,金,1B,ハーピーの絶壁,黒の太陽,,,-,-,5,7,2025-09-19,resolved
38,2025-09-12,金,1C,ブリの森,Kopitiam,,,統一,-,#N/A,7,2025-09-19,pending_or_error
38,2025-09-12,金,1D,マンシャの森の奥,RëBîrth,,,統一,宴会,#N/A,7,2025-09-19,pending_or_error
38,2025-09-12,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,,統一,宴会,#N/A,7,2025-09-19,pending_or_error
40,2025-09-14,日,3A,デルニール農場,沙漠黑鷹,,,,宴会,#N/A,#N/A,#N/A,pending_or_error
40,2025-09-14,日,2A,略奪の森,PokemonGo,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
40,2025-09-14,日,2B,忘却の地,RaиkSS,,,-,-,#N/A,5,2025-09-19,pending_or_error
40,2025-09-14,日,1A,ナーガ沼地,βυsнỉȉdo家族,,,統一,-,3,#N/A,#N/A,pending_or_error
40,2025-09-14,日,1B,旧ダンデリオン,ーArchー,,,統一,-,6,1,2025-09-15,resolved
40,2025-09-14,日,1C,捨てられた地,Anino,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
40,2025-09-14,日,1D,ベア川下流,磯野家,,,-,-,#N/A,#N/A,#N/A,pending_or_error
40,2025-09-14,日,1E,アルティノ入り口,MÏRÃGË,,,-,-,#N/A,#N/A,#N/A,pending_or_error
41,2025-09-15,月,3A,ルツム族駐屯地,・殺戮・,,,,宴会,0,6,2025-09-21,resolved
41,2025-09-15,月,3B,アト農場,LeLien,,,,,0,#N/A,#N/A,pending_or_error
41,2025-09-15,月,2A,ベリア農場地帯,PONYTAIL,,,-,宴会,0,3,2025-09-18,resolved
41,2025-09-15,月,2B,ギュントの丘,ーArchー,,,-,-,0,#N/A,#N/A,pending_or_error
41,2025-09-15,月,2C,高原地帯,Maverickz,,,統一,-,0,#N/A,#N/A,pending_or_error
41,2025-09-15,月,1A,隠遁の森,ZirconiA,,,-,-,0,6,2025-09-21,resolved
41,2025-09-15,月,1B,エワズの丘,TheUniverse,,,-,-,0,3,2025-09-18,resolved
41,2025-09-15,月,1C,廃城跡入り口,xAEGISx,,,統一,宴会,0,#N/A,#N/A,pending_or_error
41,2025-09-15,月,1D,カイア渡し場,一惡人谷一,,,-,宴会,4,#N/A,#N/A,pending_or_error
41,2025-09-15,月,1E,カズラ農場,彡MukBANG彡,,,統一,-,1,#N/A,#N/A,pending_or_error
44,2025-09-18,木,3A,北部大農場,PONYTAIL,,,,-,0,7,2025-09-25,resolved
44,2025-09-18,木,2A,トロル防御基地,ー麒麟ー,,,-,-,0,7,2025-09-25,resolved
44,2025-09-18,木,2B,隠された修道院,桜吹雪,,,-,-,3,7,2025-09-25,resolved
44,2025-09-18,木,2C,マルニの第2実験場,雪狼族,,,-,-,0,4,2025-09-22,resolved
44,2025-09-18,木,1A,アグリス平原,亗Luxúria亗,,,-,-,0,7,2025-09-25,resolved
44,2025-09-18,木,1B,リンチ農場廃墟,心晴,,,-,-,4,7,2025-09-25,resolved
44,2025-09-18,木,1C,ブレディー砦,TheUniverse,,,-,宴会,4,7,2025-09-25,resolved
44,2025-09-18,木,1D,エントの森,TipsyTavern,,,統一,-,0,7,2025-09-25,resolved
44,2025-09-18,木,1E,クリオ村,Döraêmön,,,統一,宴会,0,7,2025-09-25,resolved
45,2025-09-19,金,3A,アグリス祭壇,PhoenixJP,,,,-,0,6,2025-09-25,resolved
45,2025-09-19,金,2A,ナーガ抽出場,VainqueurJP,,,-,-,0,3,2025-09-22,resolved
45,2025-09-19,金,2B,オークキャンプ,RaиkSS,,,-,宴会,0,7,2025-09-26,resolved
45,2025-09-19,金,1A,北部採石場,TheEnd,,,統一,宴会,1,3,2025-09-22,resolved
45,2025-09-19,金,1B,ハーピーの絶壁,黒の太陽,,,-,-,0,7,2025-09-26,resolved
45,2025-09-19,金,1C,ブリの森,Kopitiam,,,-,-,0,7,2025-09-26,resolved
45,2025-09-19,金,1D,マンシャの森の奥,RëBîrth,,,-,-,0,7,2025-09-26,resolved
45,2025-09-19,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,,-,-,0,7,2025-09-26,resolved
47,2025-09-21,日,3A,デルニール農場,・殺戮・,,,,宴会,#N/A,#N/A,#N/A,pending_or_error
47,2025-09-21,日,2A,略奪の森,MystSA,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
47,2025-09-21,日,2B,忘却の地,ZirconiA,,,-,-,2,#N/A,#N/A,pending_or_error
47,2025-09-21,日,1A,ナーガ沼地,βυsнỉȉdo家族,,,統一,-,#N/A,#N/A,#N/A,pending_or_error
47,2025-09-21,日,1B,旧ダンデリオン,シェイド,,,統一,-,6,#N/A,#N/A,pending_or_error
47,2025-09-21,日,1C,捨てられた地,Anino,,,-,宴会,#N/A,#N/A,#N/A,pending_or_error
47,2025-09-21,日,1D,ベア川下流,義勇,,,-,-,#N/A,#N/A,#N/A,pending_or_error
48,2025-09-22,月,3A,ルツム族駐屯地,雪狼族,,,,,1,7,2025-09-29,resolved
48,2025-09-22,月,3B,アト農場,VainqueurJP,,,,,#N/A,7,2025-09-29,pending_or_error
48,2025-09-22,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,,,,4,7,2025-09-29,resolved
48,2025-09-22,月,2B,ギュントの丘,ーArchー,,,,,#N/A,7,2025-09-29,pending_or_error
48,2025-09-22,月,2C,高原地帯,TheEnd,,,,,#N/A,7,2025-09-29,pending_or_error
48,2025-09-22,月,1A,隠遁の森,Revenant,,,,,1,7,2025-09-29,resolved
48,2025-09-22,月,1B,エワズの丘,SkyCastle,,,,,4,4,2025-09-26,resolved
48,2025-09-22,月,1C,廃城跡入り口,xAEGISx,,,,,#N/A,7,2025-09-29,pending_or_error
48,2025-09-22,月,1D,カイア渡し場,一惡人谷一,,,,,#N/A,7,2025-09-29,pending_or_error
48,2025-09-22,月,1E,カズラ農場,Restart,,,,,#N/A,3,2025-09-25,pending_or_error
51,2025-09-25,木,3A,北部大農場,PhoenixJP,,,,,0,4,2025-09-29,resolved
51,2025-09-25,木,2A,トロル防御基地,LeLien,,,,,0,7,2025-10-02,resolved
51,2025-09-25,木,2B,隠された修道院,Restart,,,,,0,7,2025-10-02,resolved
51,2025-09-25,木,2C,マルニの第2実験場,Maverickz,,,,,3,1,2025-09-26,resolved
51,2025-09-25,木,1A,アグリス平原,亗Luxúria亗,,,,,0,7,2025-10-02,resolved
51,2025-09-25,木,1B,リンチ農場廃墟,雲淡風輕o,,,,,0,7,2025-10-02,resolved
51,2025-09-25,木,1C,ブレディー砦,MelonEmpire,,,,,0,7,2025-10-02,resolved
51,2025-09-25,木,1D,エントの森,沙漠黑鷹,,,,,0,3,2025-09-28,resolved
51,2025-09-25,木,1E,クリオ村,FLORISTS,,,,,0,7,2025-10-02,resolved
52,2025-09-26,金,3A,アグリス祭壇,ーリベリオンー,,,,,1,#N/A,#N/A,pending_or_error
52,2025-09-26,金,2A,ナーガ抽出場,Maverickz,,,,,4,#N/A,#N/A,pending_or_error
52,2025-09-26,金,1A,北部採石場,磯野家,,,,,4,#N/A,#N/A,pending_or_error
52,2025-09-26,金,1B,ハーピーの絶壁,オアシスステップ,,,,,0,6,2025-10-02,resolved
52,2025-09-26,金,1C,ブリの森,SkyCastle,,,,,0,#N/A,#N/A,pending_or_error
52,2025-09-26,金,1E,廃鉄鉱山採掘場,一DEFlANCE,,,,,0,#N/A,#N/A,pending_or_error
54,2025-09-28,日,3A,デルニール農場,沙漠黑鷹,,,,,#N/A,#N/A,#N/A,pending_or_error
54,2025-09-28,日,2A,略奪の森,Etërnîty,,,,,#N/A,#N/A,#N/A,pending_or_error
54,2025-09-28,日,2B,忘却の地,TheUniverse,,,,,#N/A,#N/A,#N/A,pending_or_error
54,2025-09-28,日,1A,ナーガ沼地,βυsнỉȉdo家族,,,,,#N/A,#N/A,#N/A,pending_or_error
54,2025-09-28,日,1B,旧ダンデリオン,シェイド,,,,,#N/A,4,2025-10-02,pending_or_error
54,2025-09-28,日,1C,捨てられた地,Anino,,,,,#N/A,4,2025-10-02,pending_or_error
54,2025-09-28,日,1D,ベア川下流,義勇,,,,,#N/A,5,2025-10-03,pending_or_error
54,2025-09-28,日,1E,アルティノ入り口,ーEspoirー,,,,,#N/A,#N/A,#N/A,pending_or_error
55,2025-09-29,月,3A,ルツム族駐屯地,PONYTAIL,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,3B,アト農場,VainqueurJP,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,2B,ギュントの丘,PhoenixJP,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,2C,高原地帯,RaиkSS,,,,,0,3,2025-10-02,resolved
55,2025-09-29,月,1A,隠遁の森,Pandora,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,1B,エワズの丘,MukBANG,,,,,3,7,2025-10-06,resolved
55,2025-09-29,月,1C,廃城跡入り口,xAEGISx,,,,,0,6,2025-10-05,resolved
55,2025-09-29,月,1D,カイア渡し場,一惡人谷一,,,,,0,7,2025-10-06,resolved
55,2025-09-29,月,1E,カズラ農場,RëBîrth,,,,,4,7,2025-10-06,resolved
58,2025-10-02,木,3A,北部大農場,RaиkSS,,,,,3,7,2025-10-09,resolved
58,2025-10-02,木,2A,トロル防御基地,シェイド,,,,,0,1,2025-10-03,resolved
58,2025-10-02,木,2B,隠された修道院,UprisE,,,,,0,7,2025-10-09,resolved
58,2025-10-02,木,2C,マルニの第2実験場,雪狼族,,,,,6,7,2025-10-09,resolved
58,2025-10-02,木,1A,アグリス平原,亗Luxúria亗,,,,,0,7,2025-10-09,resolved
58,2025-10-02,木,1B,リンチ農場廃墟,オアシスステップ,,,,,0,7,2025-10-09,resolved
58,2025-10-02,木,1C,ブレディー砦,Anino,,,,,0,7,2025-10-09,resolved
58,2025-10-02,木,1D,エントの森,SERENITY,,,,,4,7,2025-10-09,resolved
59,2025-10-03,金,3A,アグリス祭壇,シェイド,,,,,#N/A,7,2025-10-10,pending_or_error
59,2025-10-03,金,2A,ナーガ抽出場,MystSA,,,,,#N/A,7,2025-10-10,pending_or_error
59,2025-10-03,金,2B,オークキャンプ,・殺戮・,,,,,#N/A,3,2025-10-06,pending_or_error
59,2025-10-03,金,1A,北部採石場,義勇,,,,,#N/A,7,2025-10-10,pending_or_error
59,2025-10-03,金,1B,ハーピーの絶壁,毛家村,,,,,1,7,2025-10-10,resolved
59,2025-10-03,金,1C,ブリの森,ZirconiA,,,,,#N/A,7,2025-10-10,pending_or_error
59,2025-10-03,金,1D,マンシャの森の奥,ーArchー,,,,,#N/A,6,2025-10-09,pending_or_error
59,2025-10-03,金,1E,廃鉄鉱山採掘場,Restart,,,,,#N/A,7,2025-10-10,pending_or_error
61,2025-10-05,日,3A,デルニール農場,沙漠黑鷹,,,,,#N/A,#N/A,#N/A,pending_or_error
61,2025-10-05,日,2A,略奪の森,Etërnîty,,,,,#N/A,#N/A,#N/A,pending_or_error
61,2025-10-05,日,2B,忘却の地,Döraêmön,,,,,#N/A,#N/A,#N/A,pending_or_error
61,2025-10-05,日,1A,ナーガ沼地,βυsнỉȉdo家族,,,,,#N/A,#N/A,#N/A,pending_or_error
61,2025-10-05,日,1B,旧ダンデリオン,xAEGISx,,,,,3,4,2025-10-09,resolved
61,2025-10-05,日,1C,捨てられた地,Astrklotho,,,,,3,#N/A,#N/A,pending_or_error
61,2025-10-05,日,1D,ベア川下流,TheEnd,,,,,2,5,2025-10-10,resolved
61,2025-10-05,日,1E,アルティノ入り口,Revenant,,,,,#N/A,#N/A,#N/A,pending_or_error
62,2025-10-06,月,3A,ルツム族駐屯地,PONYTAIL,,,,宴会,0,3,2025-10-09,resolved
62,2025-10-06,月,3B,アト農場,VainqueurJP,,,,,0,7,2025-10-13,resolved
62,2025-10-06,月,2A,ベリア農場地帯,氣噗噗讓玻璃心碎一地,,,,宴会,0,7,2025-10-13,resolved
62,2025-10-06,月,2B,ギュントの丘,AlmaVivaJP,,,-,-,0,7,2025-10-13,resolved
62,2025-10-06,月,2C,高原地帯,・殺戮・,,,-,-,4,4,2025-10-10,resolved
62,2025-10-06,月,1A,隠遁の森,TheUniverse,,,-,宴会,0,7,2025-10-13,resolved
62,2025-10-06,月,1B,エワズの丘,SkyCastle,,,-,-,0,3,2025-10-09,resolved
62,2025-10-06,月,1C,廃城跡入り口,MÏRÃGË,,,統一,-,1,7,2025-10-13,resolved
62,2025-10-06,月,1D,カイア渡し場,ー麒麟ー,,,統一,宴会,0,7,2025-10-13,resolved
62,2025-10-06,月,1E,カズラ農場,ーEspoirー,,,統一,-,0,6,2025-10-12,resolved
65,2025-10-09,木,3A,北部大農場,PONYTAIL,,,,-,0,4,2025-10-13,resolved
65,2025-10-09,木,2A,トロル防御基地,xAEGISx,,,-,-,6,7,2025-10-16,resolved
65,2025-10-09,木,2B,隠された修道院,UprisE,,,統一,-,0,7,2025-10-16,resolved
65,2025-10-09,木,2C,マルニの第2実験場,雪狼族,,,-,宴会,0,7,2025-10-16,resolved
65,2025-10-09,木,1A,アグリス平原,亗Luxúria亗,,,統一,-,0,7,2025-10-16,resolved
65,2025-10-09,木,1B,リンチ農場廃墟,雲淡風輕o,,,-,-,0,7,2025-10-16,resolved
65,2025-10-09,木,1C,ブレディー砦,ーArchー,,,-,宴会,0,1,2025-10-10,resolved
65,2025-10-09,木,1D,エントの森,一DEFlANCE,,,統一,-,0,7,2025-10-16,resolved
65,2025-10-09,木,1E,クリオ村,SkyCastle,,,-,宴会,0,7,2025-10-16,resolved
66,2025-10-10,金,3A,アグリス祭壇,ーリベリオンー,,,,-,0,7,2025-10-17,resolved
66,2025-10-10,金,2A,ナーガ抽出場,MystSA,,,-,-,0,6,2025-10-16,resolved
66,2025-10-10,金,2B,オークキャンプ,・殺戮・,,,-,宴会,4,7,2025-10-17,resolved
66,2025-10-10,金,1A,北部採石場,TheEnd,,,統一,-,0,7,2025-10-17,resolved
66,2025-10-10,金,1B,ハーピーの絶壁,ーArchー,,,-,-,0,3,2025-10-13,resolved
66,2025-10-10,金,1C,ブリの森,一惡人谷一,,,-,-,0,7,2025-10-17,resolved
66,2025-10-10,金,1D,マンシャの森の奥,RëBîrth,,,-,-,1,7,2025-10-17,resolved
66,2025-10-10,金,1E,廃鉄鉱山採掘場,Restart,,,-,-,0,3,2025-10-13,resolved
68,2025-10-12,日,3A,デルニール農場,毛家村,,,,-,#N/A,#N/A,#N/A,pending_or_error
68,2025-10-12,日,2A,略奪の森,Anino,,,-,-,#N/A,#N/A,#N/A,pending_or_error
68,2025-10-12,日,2B,忘却の地,PokemonGo,,,-,-,#N/A,#N/A,#N/A,pending_or_error
68,2025-10-12,日,1A,ナーガ沼地,βυsнỉȉdo家族,,,統一,-,#N/A,#N/A,#N/A,pending_or_error
68,2025-10-12,日,1B,旧ダンデリオン,ーEspoirー,,,-,-,3,4,2025-10-16,resolved
68,2025-10-12,日,1C,捨てられた地,オアシスステップ,,,-,-,#N/A,#N/A,#N/A,pending_or_error
68,2025-10-12,日,1D,ベア川下流,RaиkSS,,,-,宴会,2,1,2025-10-13,resolved
68,2025-10-12,日,1E,アルティノ入り口,UnityJP,,,-,-,#N/A,#N/A,#N/A,pending_or_error
